_id,name_comp,vid_oper,contr_terr,uchastie,contr_numb,admin_edin,contr_srok,id,example_field1,example_field2
6566e2213e7a16b38ea1d2a9,"ТОО ""Саутс Ойл""",Добыча,Месторождение Калжан,"ТОО ""Финансовая Торгово-Промышленная корпорация ""Онтустик"" и АО ""Petro Asia"" ",5189-УВС от 15.03.2023,Кызылординская область,15.03.2048 (подготовительный период 15.03.2026),164,,
6566e2213e7a16b38ea1d2aa,"ТОО ""Саутс Ойл""",Добыча,Месторождение Северный Кенлык,"ТОО ""Финансовая Торгово-Промышленная корпорация ""Онтустик"" и АО ""Petro Asia"" ",5190-УВС от 15.03.2023,Улытауская и Кызылординская области,15.03.2048 (подготовительный период 15.03.2026),165,,
6566e2213e7a16b38ea1d2ab,"ТОО ""DMS Services""",Разведка и добыча,Участок Дияр,Компания «Tethys Kazakhstan» S.A.,5191-УВС от 16.03.2023,Актюбинская область,16.03.2029,166,,
6566e2213e7a16b38ea1d2ac,"ТОО ""DMS Services""",Разведка и добыча,Участок Жанасу,Компания «Tethys Kazakhstan» S.A.,5192-УВС от 16.03.2023,Актюбинская область,16.03.2029,167,,
6566e2213e7a16b38ea1d2ad,"ТОО ""DMS Services""",Разведка и добыча,Участок Нуржау,Компания «Tethys Kazakhstan» S.A.,5193-УВС от 16.03.2023,Актюбинская область,16.03.2029,168,,
6566e2213e7a16b38ea1d2ae,"ТОО ""КазСтройИнвест KZ""",Разведка и добыча,Участок Каражанбас Северный,"ТОО ""Бузачи Нефть""\nГазизова Дина Хабибулловна ",5194-УВС от 16.03.2023,Мангистауская область,16.03.2029,169,,
6566e2213e7a16b38ea1d2af,"ТОО ""Madot Oil""",Разведка и добыча,площадь Алаойл,"Компания ""XINLING PETROLEUM PTELTD»",661 от  24.04.2001 года,Атырауская область ,18.04.2023г.       ,17,,
6566e2213e7a16b38ea1d2b0,"ТОО ""БИОПРОМ KZ""",Разведка и добыча,Участок Карповский северный,"ТОО ""Бузачи Нефть""\nГазизова Дина Хабибулловна ",5195-УВС от 16.03.2023,Западно-Казахстнаснкая область,16.03.2029,170,,
6566e2213e7a16b38ea1d2b1,"Частная компания  ""Qassinoil Ltd""",Разведка и добыча,на меторождении Приграничное,Кусаев Аскар Уразович,5198-УВС от 20.03.2023,Западно-Казахстнаснкая область,20.03.2029,171,,
6566e2213e7a16b38ea1d2b2,"АО ""КМК Мунай""",Разведка и добыча," месторождение Мортук в пределах блока XXII-22-В(частично),С(частично) и в пределах блока ХХ11-22-В(частично), С(частично)","АО ""СНПС – Актобемунайгаз» \nYukon Energy Holding S.A. ",731 от 01.08.2001 года,Актюбинская область,02.04.2031г.        ,18,,
